"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/25/2023","AQS","410670005","1","0.6","ppm","7","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"01/26/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"01/27/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"01/28/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"01/29/2023","AQS","410670005","1","0.1","ppm","1","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"01/30/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"01/31/2023","AQS","410670005","1","0.7","ppm","8","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/01/2023","AQS","410670005","1","1","ppm","11","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/02/2023","AQS","410670005","1","1.1","ppm","13","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/03/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/04/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/05/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/06/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
